îN,åé,í¿ã‡éwêî
1990.0,1,92.7
1990.0,2,85.3
1990.0,3,93.0
1990.0,4,87.7
1990.0,5,86.5
1990.0,6,150.3
1990.0,7,146.7
1990.0,8,97.9
1990.0,9,86.3
1990.0,10,86.0
1990.0,11,89.1
1990.0,12,238.1
1991.0,1,90.7
1991.0,2,86.3
1991.0,3,94.0
1991.0,4,88.4
1991.0,5,87.1
1991.0,6,152.3
1991.0,7,148.2
1991.0,8,101.5
1991.0,9,87.5
1991.0,10,86.9
1991.0,11,90.1
1991.0,12,242.1
1992.0,1,93.7
1992.0,2,87.3
1992.0,3,95.1
1992.0,4,88.6
1992.0,5,87.9
1992.0,6,153.4
1992.0,7,151.0
1992.0,8,100.4
1992.0,9,87.2
1992.0,10,87.6
1992.0,11,91.0
1992.0,12,238.2
1993.0,1,92.9
1993.0,2,87.4
1993.0,3,94.4
1993.0,4,89.0
1993.0,5,88.1
1993.0,6,151.8
1993.0,7,146.1
1993.0,8,99.8
1993.0,9,87.5
1993.0,10,87.6
1993.0,11,92.0
1993.0,12,232.2
1994.0,1,94.5
1994.0,2,87.8
1994.0,3,94.5
1994.0,4,90.2
1994.0,5,89.0
1994.0,6,161.8
1994.0,7,141.7
1994.0,8,99.6
1994.0,9,89.4
1994.0,10,89.1
1994.0,11,93.0
1994.0,12,232.9
1995.0,1,95.8
1995.0,2,89.7
1995.0,3,97.0
1995.0,4,91.7
1995.0,5,90.2
1995.0,6,159.8
1995.0,7,145.8
1995.0,8,100.5
1995.0,9,90.7
1995.0,10,90.9
1995.0,11,94.6
1995.0,12,235.0
1996.0,1,96.5
1996.0,2,91.5
1996.0,3,98.8
1996.0,4,93.2
1996.0,5,91.5
1996.0,6,161.2
1996.0,7,145.9
1996.0,8,104.0
1996.0,9,91.9
1996.0,10,91.9
1996.0,11,96.6
1996.0,12,233.9
1997.0,1,102.4
1997.0,2,92.6
1997.0,3,100.0
1997.0,4,93.2
1997.0,5,91.4
1997.0,6,159.1
1997.0,7,146.5
1997.0,8,102.7
1997.0,9,90.6
1997.0,10,90.7
1997.0,11,94.6
1997.0,12,231.2
1998.0,1,99.7
1998.0,2,90.7
1998.0,3,98.3
1998.0,4,92.3
1998.0,5,90.3
1998.0,6,158.6
1998.0,7,143.2
1998.0,8,100.9
1998.0,9,90.2
1998.0,10,90.5
1998.0,11,93.9
1998.0,12,220.3
1999.0,1,96.2
1999.0,2,90.2
1999.0,3,98.1
